loan_id,application_date,age,gender,education,state,urban_rural,employment_type,employment_years,annual_income_inr,loan_type,loan_purpose,loan_amount_inr,loan_tenure_months,interest_rate_pct,credit_score,num_existing_loans,dti_ratio,ltv_ratio,has_collateral,bureau_enquiries_6m,missed_payments_2y,savings_account_balance_inr,default_flag
LN0004000,2022-05-28,25,Male,No_Formal,UP,Semi_Urban,Salaried,17,2674706,Home_Loan,Vehicle,1464379,60,8.55,766,1,0.096,0.879,1,8,0,25352,0
LN0006954,2022-12-28,55,Male,No_Formal,DL,Urban,Salaried,13,1693886,MSME_Loan,Home_Purchase,4323158,24,14.73,814,2,0.157,,0,0,0,181963,0
LN0010764,2023-06-16,60,Female,Graduate,KA,Urban,Business_Owner,11,2360467,Gold_Loan,Business_Expansion,1828438,180,15.84,673,4,0.235,,1,3,1,178376,0
LN0009548,2023-02-20,50,Male,Post_Graduate,MH,Urban,Salaried,3,1189399,Personal_Loan,Debt_Consolidation,630531,60,12.81,664,2,0.448,,0,7,1,222609,0
LN0001318,2023-09-01,59,Male,Undergraduate,TS,Urban,Salaried,10,1497301,Auto_Loan,Vehicle,2081404,180,10.3,619,0,0.49,,1,7,0,292507,0
LN0009037,2022-12-26,37,Male,Graduate,MH,Urban,Salaried,28,2462191,Personal_Loan,Home_Purchase,4409292,36,20.03,635,0,0.254,,0,4,0,130709,0
LN0003846,2023-10-27,25,Male,Diploma,DL,Semi_Urban,Self_Employed,30,811151,Education_Loan,Education,3446242,48,18.83,675,0,0.118,,0,4,1,136342,0
LN0011960,2022-01-13,32,Male,Graduate,RJ,Urban,Business_Owner,6,1174505,Personal_Loan,Home_Purchase,4772685,240,11.69,618,2,0.113,,0,7,2,158461,0
LN0016815,2022-08-26,54,Female,Undergraduate,TS,Rural,Salaried,6,2790944,Personal_Loan,Debt_Consolidation,508360,48,11.43,893,4,0.645,,0,5,1,444198,1
LN0015419,2022-11-27,58,Male,Diploma,KA,Urban,Salaried,9,327142,Auto_Loan,Home_Purchase,3460135,60,19.9,790,1,0.511,,0,8,5,203020,1
LN0009506,2022-11-26,51,Male,Graduate,GJ,Rural,Self_Employed,24,2997778,Gold_Loan,Home_Purchase,2293444,240,9.67,652,3,0.334,,1,2,1,431238,0
LN0004595,2022-10-21,53,Male,Diploma,WB,Semi_Urban,Salaried,27,1085608,Home_Loan,Other,3828364,120,12.16,627,1,0.179,0.924,0,2,2,497604,1
